id,biller,description,amount,purchaseDate,dueDate,paid,paidDate,frequency
1749931522118.8162,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2028-02-15",false,"","lifetime"
1749931522118.237,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2028-03-15",false,"","lifetime"
1749931522118.0369,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2028-04-15",false,"","lifetime"
1749931522118.9604,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2028-05-15",false,"","lifetime"
1749931522119.0696,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2028-06-15",false,"","lifetime"
1749931522119.8723,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2028-07-15",false,"","lifetime"
1749931522119.4763,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2028-08-15",false,"","lifetime"
1749931522119.5535,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2028-09-15",false,"","lifetime"
1749931522119.502,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2028-10-15",false,"","lifetime"
1749931522119.004,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2028-11-15",false,"","lifetime"
1749931522119.4556,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2028-12-15",false,"","lifetime"
1749931522119.0166,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2029-01-15",false,"","lifetime"
1749931522119.0447,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2029-02-15",false,"","lifetime"
1749931522119.7002,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2029-03-15",false,"","lifetime"
1749931522119.675,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2029-04-15",false,"","lifetime"
1749931522119.009,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2029-05-15",false,"","lifetime"
1749931522119.9348,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2029-06-15",false,"","lifetime"
1749931522119.6255,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2029-07-15",false,"","lifetime"
1749931522119.9822,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2029-08-15",false,"","lifetime"
1749931522119.9873,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2029-09-15",false,"","lifetime"
1749931522119.4006,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2029-10-15",false,"","lifetime"
1749931522119.5708,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2029-11-15",false,"","lifetime"
1749931522119.4,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2029-12-15",false,"","lifetime"
1749931522119.0457,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2030-01-15",false,"","lifetime"
1749931522119.4731,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2030-02-15",false,"","lifetime"
1749931522119.1147,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2030-03-15",false,"","lifetime"
1749931522119.3489,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2030-04-15",false,"","lifetime"
1749931522119.0193,"Baby sitting","For mom of Gladys (Lifetime)",1000,"2025-06-15","2030-05-15",false,"","lifetime"
1749931605662.129,"Netflix","Payment for Maricar",150,"2025-06-15","2025-06-13",true,"2025-06-14T20:06:45.662Z","one-time"
1749931654350.0627,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2025-06-30",true,"2025-06-14T20:07:38.718Z","lifetime"
1749931654350.3486,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2025-07-30",false,"","lifetime"
1749931654350.1177,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2025-08-30",false,"","lifetime"
1749931654350.675,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2025-09-30",false,"","lifetime"
1749931654350.117,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2025-10-30",false,"","lifetime"
1749931654350.861,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2025-11-30",false,"","lifetime"
1749931654350.0474,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2025-12-30",false,"","lifetime"
1749931654350.6416,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2026-01-30",false,"","lifetime"
1749931654350.7773,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2026-03-02",false,"","lifetime"
1749931654350.5356,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2026-04-02",false,"","lifetime"
1749931654350.0027,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2026-05-02",false,"","lifetime"
1749931654350.059,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2026-06-02",false,"","lifetime"
1749931654350.7615,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2026-07-02",false,"","lifetime"
1749931654350.2717,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2026-08-02",false,"","lifetime"
1749931654350.1196,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2026-09-02",false,"","lifetime"
1749931654350.1497,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2026-10-02",false,"","lifetime"
1749931654350.7693,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2026-11-02",false,"","lifetime"
1749931654350.8838,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2026-12-02",false,"","lifetime"
1749931654350.3704,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2027-01-02",false,"","lifetime"
1749931654350.0068,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2027-02-02",false,"","lifetime"
1749931654350.5842,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2027-03-02",false,"","lifetime"
1749931654350.4297,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2027-04-02",false,"","lifetime"
1749931654350.6387,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2027-05-02",false,"","lifetime"
1749931654350.625,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2027-06-02",false,"","lifetime"
1749931654350.568,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2027-07-02",false,"","lifetime"
1749931654350.5867,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2027-08-02",false,"","lifetime"
1749931654350.1619,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2027-09-02",false,"","lifetime"
1749931654350.5466,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2027-10-02",false,"","lifetime"
1749931654350.1677,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2027-11-02",false,"","lifetime"
1749931654350.9854,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2027-12-02",false,"","lifetime"
1749931654350.7314,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2028-01-02",false,"","lifetime"
1749931654350.5605,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2028-02-02",false,"","lifetime"
1749931654350.9426,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2028-03-02",false,"","lifetime"
1749931654350.9128,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2028-04-02",false,"","lifetime"
1749931654350.4233,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2028-05-02",false,"","lifetime"
1749931654350.5881,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2028-06-02",false,"","lifetime"
1749931654350.3914,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2028-07-02",false,"","lifetime"
1749931654350.452,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2028-08-02",false,"","lifetime"
1749931654350.1306,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2028-09-02",false,"","lifetime"
1749931654350.2507,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2028-10-02",false,"","lifetime"
1749931654350.401,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2028-11-02",false,"","lifetime"
1749931654350.7224,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2028-12-02",false,"","lifetime"
1749931654350.5757,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2029-01-02",false,"","lifetime"
1749931654350.1108,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2029-02-02",false,"","lifetime"
1749931654350.7527,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2029-03-02",false,"","lifetime"
1749931654350.2888,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2029-04-02",false,"","lifetime"
1749931654350.1987,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2029-05-02",false,"","lifetime"
1749931654350.3303,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2029-06-02",false,"","lifetime"
1749931654350.9888,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2029-07-02",false,"","lifetime"
1749931654350.115,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2029-08-02",false,"","lifetime"
1749931654350.6897,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2029-09-02",false,"","lifetime"
1749931654350.9414,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2029-10-02",false,"","lifetime"
1749931654350.346,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2029-11-02",false,"","lifetime"
1749931654350.3425,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2029-12-02",false,"","lifetime"
1749931654350.9072,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2030-01-02",false,"","lifetime"
1749931654350.3274,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2030-02-02",false,"","lifetime"
1749931654350.5774,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2030-03-02",false,"","lifetime"
1749931654350.0505,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2030-04-02",false,"","lifetime"
1749931654350.2534,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2030-05-02",false,"","lifetime"
1749931654350.3403,"Motorcycle","Payment for Father Rod (Lifetime)",750,"2025-06-30","2030-06-02",false,"","lifetime"
1749931743526.41,"SLoan","N/A (1/4)",545.41,"2025-07-02","2025-07-02",false,"","recurring"
1749931743526.1624,"SLoan","N/A (2/4)",545.41,"2025-07-02","2025-08-02",false,"","recurring"
1749931743526.0347,"SLoan","N/A (3/4)",545.41,"2025-07-02","2025-09-02",false,"","recurring"
1749931743526.1436,"SLoan","N/A (4/4)",545.41,"2025-07-02","2025-10-02",false,"","recurring"
1749931786214.171,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2025-07-02",false,"","lifetime"
1749931786214.3833,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2025-08-02",false,"","lifetime"
1749931786214.035,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2025-09-02",false,"","lifetime"
1749931786214.3726,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2025-10-02",false,"","lifetime"
1749931786214.8699,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2025-11-02",false,"","lifetime"
1749931786214.0632,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2025-12-02",false,"","lifetime"
1749931786214.363,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2026-01-02",false,"","lifetime"
1749931786214.1523,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2026-02-02",false,"","lifetime"
1749931786214.3984,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2026-03-02",false,"","lifetime"
1749931786214.8914,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2026-04-02",false,"","lifetime"
1749931786214.875,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2026-05-02",false,"","lifetime"
1749931786214.7954,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2026-06-02",false,"","lifetime"
1749931786214.454,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2026-07-02",false,"","lifetime"
1749931786214.016,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2026-08-02",false,"","lifetime"
1749931786214.9941,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2026-09-02",false,"","lifetime"
1749931786214.1829,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2026-10-02",false,"","lifetime"
1749931786214.591,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2026-11-02",false,"","lifetime"
1749931786214.2437,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2026-12-02",false,"","lifetime"
1749931786214.1072,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2027-01-02",false,"","lifetime"
1749931786214.2913,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2027-02-02",false,"","lifetime"
1749931786214.35,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2027-03-02",false,"","lifetime"
1749931786214.651,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2027-04-02",false,"","lifetime"
1749931786214.973,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2027-05-02",false,"","lifetime"
1749931786214.3804,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2027-06-02",false,"","lifetime"
1749931786214.967,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2027-07-02",false,"","lifetime"
1749931786214.1309,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2027-08-02",false,"","lifetime"
1749931786214.1711,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2027-09-02",false,"","lifetime"
1749931786214.3057,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2027-10-02",false,"","lifetime"
1749931786214.5493,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2027-11-02",false,"","lifetime"
1749931786214.282,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2027-12-02",false,"","lifetime"
1749931786214.2327,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2028-01-02",false,"","lifetime"
1749931786214.8474,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2028-02-02",false,"","lifetime"
1749931786214.5369,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2028-03-02",false,"","lifetime"
1749931786214.8547,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2028-04-02",false,"","lifetime"
1749931786214.2256,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2028-05-02",false,"","lifetime"
1749931786214.9514,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2028-06-02",false,"","lifetime"
1749931786214.5706,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2028-07-02",false,"","lifetime"
1749931786214.9292,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2028-08-02",false,"","lifetime"
1749931786214.0095,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2028-09-02",false,"","lifetime"
1749931786214.88,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2028-10-02",false,"","lifetime"
1749931786214.1733,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2028-11-02",false,"","lifetime"
1749931786214.02,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2028-12-02",false,"","lifetime"
1749931786214.5745,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2029-01-02",false,"","lifetime"
1749931786214.816,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2029-02-02",false,"","lifetime"
1749931786214.6816,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2029-03-02",false,"","lifetime"
1749931786214.2566,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2029-04-02",false,"","lifetime"
1749931786214.403,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2029-05-02",false,"","lifetime"
1749931786214.6235,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2029-06-02",false,"","lifetime"
1749931786214.5625,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2029-07-02",false,"","lifetime"
1749931786214.6853,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2029-08-02",false,"","lifetime"
1749931786214.7024,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2029-09-02",false,"","lifetime"
1749931786214.8452,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2029-10-02",false,"","lifetime"
1749931786214.0762,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2029-11-02",false,"","lifetime"
1749931786214.6865,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2029-12-02",false,"","lifetime"
1749931786214.5837,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2030-01-02",false,"","lifetime"
1749931786214.9243,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2030-02-02",false,"","lifetime"
1749931786214.8916,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2030-03-02",false,"","lifetime"
1749931786214.1067,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2030-04-02",false,"","lifetime"
1749931786214.919,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2030-05-02",false,"","lifetime"
1749931786214.8604,"PLDT","Miñoza's Home (Lifetime)",1599,"2025-07-02","2030-06-02",false,"","lifetime"
1749932103880.5354,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0005-07-01",false,null,"lifetime"
1749932103880.731,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0005-08-01",false,null,"lifetime"
1749932103880.506,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0005-09-01",false,null,"lifetime"
1749932103880.4812,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0005-10-01",false,null,"lifetime"
1749932103880.2842,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0005-11-01",false,null,"lifetime"
1749932103880.207,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0005-12-01",false,null,"lifetime"
1749932103880.3555,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0006-01-01",false,null,"lifetime"
1749932103880.3464,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0006-02-01",false,null,"lifetime"
1749932103880.2961,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0006-03-01",false,null,"lifetime"
1749932103880.8132,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0006-04-01",false,null,"lifetime"
1749932103880.3354,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0006-05-01",false,null,"lifetime"
1749932103880.436,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0006-06-01",false,null,"lifetime"
1749932103880.6853,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0006-07-01",false,null,"lifetime"
1749932103880.647,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0006-08-01",false,null,"lifetime"
1749932103880.8127,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0006-09-01",false,null,"lifetime"
1749932103880.6064,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0006-10-01",false,null,"lifetime"
1749932103880.0764,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0006-11-01",false,null,"lifetime"
1749932103880.6277,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0006-12-01",false,null,"lifetime"
1749932103880.0952,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0007-01-01",false,null,"lifetime"
1749932103880.7886,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0007-02-01",false,null,"lifetime"
1749932103880.415,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0007-03-01",false,null,"lifetime"
1749932103880.845,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0007-04-01",false,null,"lifetime"
1749932103880.5825,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0007-05-01",false,null,"lifetime"
1749932103880.6106,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0007-06-01",false,null,"lifetime"
1749932103880.4248,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0007-07-01",false,null,"lifetime"
1749932103880.001,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0007-08-01",false,null,"lifetime"
1749932103880.6677,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0007-09-01",false,null,"lifetime"
1749932103880.1345,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0007-10-01",false,null,"lifetime"
1749932103880.2102,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0007-11-01",false,null,"lifetime"
1749932103880.197,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0007-12-01",false,null,"lifetime"
1749932103880.1846,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0008-01-01",false,null,"lifetime"
1749932103880.9395,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0008-02-01",false,null,"lifetime"
1749932103880.8674,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0008-03-01",false,null,"lifetime"
1749932103880.7158,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0008-04-01",false,null,"lifetime"
1749932103880.207,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0008-05-01",false,null,"lifetime"
1749932103880.9187,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0008-06-01",false,null,"lifetime"
1749932103880.1992,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0008-07-01",false,null,"lifetime"
1749932103880.975,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0008-08-01",false,null,"lifetime"
1749932103880.0623,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0008-09-01",false,null,"lifetime"
1749932103880.2925,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0008-10-01",false,null,"lifetime"
1749932103880.7888,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0008-11-01",false,null,"lifetime"
1749932103880.7656,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0008-12-01",false,null,"lifetime"
1749932103880.6025,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0009-01-01",false,null,"lifetime"
1749932103880.5083,"PLDT","Tariao and Daitol's Home (Lifetime)",1399,"2025-07-02","0009-02-01",false,null,"lifetime"
